 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  1  1  0.0012  0.0056  0.0009  0.0016  0.0056  0.0090  0.0019 -0.0005
  1  2 -0.0002  0.0073  0.0006  0.0021  0.0069  0.0091  0.0029 -0.0003
  1  3 -0.0008  0.0086  0.0004  0.0023  0.0048  0.0082  0.0016 -0.0011
  1  4 -0.0010  0.0089  0.0011  0.0022  0.0055  0.0072  0.0013 -0.0027
  1  5 -0.0010  0.0083  0.0024  0.0020  0.0057  0.0065  0.0013 -0.0044
  1  6 -0.0010  0.0077  0.0037  0.0012  0.0070  0.0055  0.0024 -0.0056
  1  7 -0.0026  0.0074  0.0056 -0.0001  0.0066  0.0042  0.0032 -0.0064
  1  8 -0.0047  0.0073  0.0066 -0.0013  0.0071  0.0040  0.0036 -0.0073
  1  9 -0.0069  0.0075  0.0066 -0.0016  0.0071  0.0054  0.0045 -0.0084
  1 10 -0.0083  0.0080  0.0067 -0.0012  0.0083  0.0072  0.0051 -0.0093
  1 11 -0.0103  0.0084  0.0067 -0.0007  0.0070  0.0079  0.0054 -0.0093
  1 12 -0.0117  0.0084  0.0054 -0.0002  0.0042  0.0077  0.0059 -0.0084
  1 13 -0.0130  0.0082  0.0046  0.0006  0.0000  0.0078  0.0049 -0.0070
  1 14 -0.0144  0.0079  0.0056  0.0022 -0.0051  0.0081  0.0042 -0.0059
  1 15 -0.0173  0.0074  0.0081  0.0043 -0.0104  0.0077  0.0040 -0.0056
  1 16 -0.0202  0.0066  0.0087  0.0060 -0.0146  0.0058  0.0056 -0.0059
  1 17 -0.0225  0.0053  0.0104  0.0072 -0.0184  0.0035  0.0077 -0.0061
  1 18 -0.0256  0.0039  0.0118  0.0078 -0.0218  0.0018  0.0055 -0.0059
  1 19 -0.0264  0.0029  0.0113  0.0082 -0.0227  0.0011  0.0039 -0.0056
  1 20 -0.0271  0.0020  0.0094  0.0085 -0.0255  0.0009  0.0006 -0.0059
  1 21 -0.0261  0.0014  0.0088  0.0088 -0.0291  0.0015  0.0013 -0.0071
  1 22 -0.0246  0.0017  0.0076  0.0088 -0.0301  0.0035  0.0019 -0.0082
  1 23 -0.0222  0.0034  0.0052  0.0085 -0.0277  0.0073 -0.0001 -0.0079
  1 24 -0.0172  0.0058  0.0018  0.0085 -0.0272  0.0119 -0.0023 -0.0058
