year,month,day,pc1,pc2,amp,8_phases,4_phases
1981,1,1,0.437,-0.02,0.437,4,3
1981,1,2,0.523,0.295,0.6,5,3
1981,1,3,0.07,0.494,0.499,6,4
1981,1,4,-0.267,0.195,0.33,8,1
1981,1,5,-0.24,0.559,0.609,7,4
1981,1,6,-0.241,0.833,0.867,7,4
1981,1,7,-0.323,0.794,0.857,7,4
1981,1,8,-0.078,0.779,0.783,7,4
1981,1,9,-0.211,1.069,1.089,7,4
1981,1,10,0.064,1.04,1.042,6,4
1981,1,11,0.063,0.627,0.63,6,4
1981,1,12,0.09,0.733,0.739,6,4
1981,1,13,0.005,0.797,0.797,6,4
1981,1,14,-0.067,0.672,0.676,7,4
1981,1,15,-0.503,0.817,0.96,7,4
1981,1,16,-0.884,0.56,1.047,8,1
1981,1,17,-1.118,0.514,1.231,8,1
1981,1,18,-1.125,0.649,1.299,8,1
1981,1,19,-0.896,0.703,1.139,8,1
1981,1,20,-0.932,0.665,1.145,8,1
1981,1,21,-1.162,0.822,1.423,8,1
1981,1,22,-1.129,0.635,1.296,8,1
1981,1,23,-0.606,0.879,1.068,7,4
1981,1,24,-0.293,1.351,1.383,7,4
1981,1,25,-0.108,1.268,1.273,7,4
1981,1,26,0.248,0.569,0.621,6,4
1981,1,27,0.275,-0.245,0.368,4,3
1981,1,28,0.35,-0.226,0.416,4,3
1981,1,29,0.398,-0.117,0.414,4,3
1981,1,30,0.593,-0.152,0.612,4,3
1981,1,31,0.967,-0.241,0.996,4,3
1981,2,1,0.501,-0.103,0.511,4,3
1981,2,2,-0.034,-0.53,0.531,2,2
1981,2,3,0.025,-0.487,0.488,3,2
1981,2,4,0.297,-0.433,0.525,3,2
1981,2,5,0.293,-0.401,0.497,3,2
1981,2,6,0.219,-0.053,0.226,4,3
1981,2,7,0.269,-0.37,0.457,3,2
1981,2,8,0.429,-0.015,0.429,4,3
1981,2,9,0.332,0.046,0.335,5,3
1981,2,10,0.504,0.233,0.555,5,3
1981,2,11,0.153,0.631,0.649,6,4
1981,2,12,-0.049,0.856,0.857,7,4
1981,2,13,-0.1,0.696,0.703,7,4
1981,2,14,-0.377,0.606,0.714,7,4
1981,2,15,-0.591,0.105,0.6,8,1
1981,2,16,-0.741,0.17,0.76,8,1
1981,2,17,-0.651,-0.824,1.05,2,2
1981,2,18,-0.413,-1.177,1.248,2,2
1981,2,19,0.248,-1.045,1.074,3,2
1981,2,20,0.232,-1.135,1.159,3,2
1981,2,21,0.439,-0.811,0.922,3,2
1981,2,22,0.453,-0.569,0.727,3,2
1981,2,23,0.488,-0.635,0.801,3,2
1981,2,24,0.313,-0.529,0.615,3,2
1981,2,25,0.207,-0.223,0.304,3,2
